supplier_id,name,email,phone,region
a6a4f16c-1e46-44f4-918d-31261644a0dd,Supplier B 26,supplierb26@example.com,1-800-703-9715,us-east
3c7e5e0b-2d7f-4d1f-9ad8-2816cb89843f,Supplier A 93,suppliera93@example.com,1-800-186-9273,us-east
bbe1646b-b233-4252-8900-82d92f12447d,Supplier C 31,supplierc31@example.com,1-800-468-6221,us-east
104e0474-e631-443a-92fa-0855ac386f60,Supplier B 85,supplierb85@example.com,1-800-983-3387,us-east
57f10df5-62e4-412c-b3e9-6bceabebd886,Supplier B 55,supplierb55@example.com,1-800-358-4728,us-east
eff7ac6c-60aa-4c3f-83a8-8fc0a8b750c5,Supplier C 37,supplierc37@example.com,1-800-867-3483,us-east
d0b49811-da63-4fde-8570-a77cf5e0d1c0,Supplier A 23,suppliera23@example.com,1-800-682-3933,us-east
bc056768-8422-4625-90f4-ed592c9e5ae3,Supplier B 49,supplierb49@example.com,1-800-885-6156,us-east
02d7468f-8153-47a6-8c7e-ae74d8c2b4f5,Supplier A 55,suppliera55@example.com,1-800-605-2588,us-east
4b58755d-02dc-4c70-86d2-53ed4d94efda,Supplier B 19,supplierb19@example.com,1-800-886-7332,us-east
9ac3ed8a-3637-4fe6-81d6-27ffd2219304,Supplier E 18,suppliere18@example.com,1-800-613-7007,us-east
179afd19-5e0c-4bcb-acdb-738731962959,Supplier D 45,supplierd45@example.com,1-800-277-1545,us-east
3b9562ab-252b-4555-b39d-e9ba4e568a61,Supplier D 3,supplierd3@example.com,1-800-972-7367,us-east
85c421d0-c3d4-4733-9012-de92abe7601d,Supplier A 91,suppliera91@example.com,1-800-105-5073,us-east
6d07a07d-e5fd-4d60-a826-181447ab300b,Supplier A 61,suppliera61@example.com,1-800-962-1217,us-east
a18293e2-1e21-48a7-8bf6-357d7170cfab,Supplier A 45,suppliera45@example.com,1-800-651-7751,us-east
287eec1a-b5b7-4f34-91fe-548c1f3600a9,Supplier C 4,supplierc4@example.com,1-800-649-3081,us-east
2f369f39-8cf8-4d18-926e-2eb1596aab69,Supplier D 99,supplierd99@example.com,1-800-803-4915,us-east
1002ede8-a4d7-4b9a-85fb-d5a1553d6ced,Supplier E 52,suppliere52@example.com,1-800-148-6691,us-east
41418060-0e12-46ef-b783-e312fbbab408,Supplier E 40,suppliere40@example.com,1-800-769-5946,us-east
29a1dea9-06f4-4921-b82c-762c913407dd,Supplier D 20,supplierd20@example.com,1-800-934-4544,us-west
9cf05cb7-c732-49b7-8718-84e8e987dda1,Supplier D 33,supplierd33@example.com,1-800-259-1821,us-west
4b1f88e3-75e0-4c86-911a-efcdb58e751c,Supplier E 39,suppliere39@example.com,1-800-392-5218,us-west
9f583855-8893-41b6-9a60-c9eeaae15314,Supplier C 47,supplierc47@example.com,1-800-196-7248,us-west
619315cc-a15b-4c06-ab34-ec937cfa48c6,Supplier E 26,suppliere26@example.com,1-800-782-6115,us-west
4be632b6-110e-491c-981b-eafa873103e4,Supplier B 66,supplierb66@example.com,1-800-670-5077,us-west
25696639-7eb3-4b67-bc08-9c42a69c7d7a,Supplier D 10,supplierd10@example.com,1-800-705-2245,us-west
55408650-a369-4156-89c6-7eca4c503323,Supplier C 12,supplierc12@example.com,1-800-406-7199,us-west
be478467-b278-495b-ae20-4e876fea6f99,Supplier B 2,supplierb2@example.com,1-800-616-6609,us-west
e41b67e3-1f9b-43aa-8a96-b1a2cea05de6,Supplier B 75,supplierb75@example.com,1-800-107-6497,us-west
2ab50ca2-1176-464b-8c96-321726de46b5,Supplier A 18,suppliera18@example.com,1-800-574-1677,us-west
138f37b8-0565-4cf4-81b6-e2724b1907c9,Supplier D 81,supplierd81@example.com,1-800-642-4699,us-west
39632edc-d574-4367-8248-52163c0aaf2b,Supplier E 2,suppliere2@example.com,1-800-654-5081,us-west
194bdb67-eae9-4055-9140-3c0178bfd4df,Supplier A 92,suppliera92@example.com,1-800-142-3870,us-west
18f2bcf6-9d39-4ab0-9c18-fb3c789b2589,Supplier E 16,suppliere16@example.com,1-800-349-4797,us-west
6a523d19-c3e3-429a-b042-913d9d7b9654,Supplier C 30,supplierc30@example.com,1-800-671-3363,us-west
bd16fe50-b49f-4df2-9ef9-13f4c0c50f7a,Supplier C 91,supplierc91@example.com,1-800-898-1334,us-west
1c04bda2-9707-48f9-8d3c-452b65ba6dd6,Supplier E 32,suppliere32@example.com,1-800-585-2260,us-west
be82bc01-e5bd-41f8-9462-929f5fa2ce96,Supplier B 12,supplierb12@example.com,1-800-297-9489,us-west
2d141d97-a0c8-42cd-8169-49af8f19743c,Supplier D 39,supplierd39@example.com,1-800-152-3931,us-west
